file,job,format,percentile_list,ioengine,direct,rate_iops,norandommap,randrepeat,group_reporting, stonewall,new_group, rw, rwmixread, numjobs,iodepth, bs,time_based, ramp_time, runtime,loops,size,log_avg_msec,log_hist_msec,write_iops_log,write_hist_log
10p_span_test_precon,ran_precon_10pf,Yes,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,,,0,Yes,,,randwrite, ,8,32,4k,,,,2,10%,,,,
10p_span_test,ran_write_10pf_r0_tp6k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,192000,Yes,0,Yes,Yes,Yes,randwrite, ,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r0_tp5k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,160000,Yes,0,Yes,Yes,Yes,randwrite, ,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r0_tp4k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,128000,Yes,0,Yes,Yes,Yes,randwrite, ,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r0_tp3k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,96000,Yes,0,Yes,Yes,Yes,randwrite, ,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r0_tp2k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,64000,Yes,0,Yes,Yes,Yes,randwrite, ,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r0_tp1k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,32000,Yes,0,Yes,Yes,Yes,randwrite, ,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r0_tp500,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,16000,Yes,0,Yes,Yes,Yes,randwrite, ,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r25_tp6k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,96000,Yes,0,Yes,Yes,Yes,randrw,25,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r25_tp5k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,80000,Yes,0,Yes,Yes,Yes,randrw,25,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r25_tp4k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,64000,Yes,0,Yes,Yes,Yes,randrw,25,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r25_tp3k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,48000,Yes,0,Yes,Yes,Yes,randrw,25,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r25_tp2k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,32000,Yes,0,Yes,Yes,Yes,randrw,25,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r25_tp1k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,16000,Yes,0,Yes,Yes,Yes,randrw,25,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r25_tp500,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,8000,Yes,0,Yes,Yes,Yes,randrw,25,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r50_tp6k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,96000,Yes,0,Yes,Yes,Yes,randrw,50,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r50_tp5k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,80000,Yes,0,Yes,Yes,Yes,randrw,50,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r50_tp4k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,64000,Yes,0,Yes,Yes,Yes,randrw,50,8,32,4k,Yes,120,900,,10%,,,,
10p_span_test,ran_write_10pf_r50_tp3k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,io_uring,1,48000,Yes,0,Yes,Yes,Yes,randrw,50,8,32,4k,Yes,120,900,,10%,,,,
